"sale_id","sale_customer","sale_total","sale_paid","sale_due","sale_date","sale_status","sale_number","sale_person","sale_company","sale_shop"
"1","1","162500.00","162500.00","2021-02-08","2021-01-24","8","MACHEETAH-20210102-SALE-1","1","0","0"
"2","1","562500.00","562500.00","2021-02-08","2021-01-24","8","MACHEETAH-20210124-SALE-2","1","0","0"
"3","1","225000.00","225000.00","2021-02-22","2021-02-07","4","MACHEETAH-20210124-SALE-3","1","0","0"
"4","1","18750.00","18750.00","2021-03-01","2021-02-14","4","MACHEETAH-20210213-SALE-4","1","0","0"
"5","1","25000.00","25000.00","2021-03-08","2021-02-21","4","MACHEETAH-20210214-SALE-5","1","0","0"
"12","1","50000.00","49000.00","2021-03-27","2021-03-12","9","SRM-20210301-SALE-12","9","1","0"
"13","1","25000.00","20000.00","2021-03-27","2021-03-12","9","SRM-20210312-SALE-13","9","1","0"
"14","1","62500.00","50000.00","2021-08-27","2021-08-12","9","SRM-20210812-SALE-14","11","3","0"
"15","1","39000.00","9000.00","2021-08-29","2021-08-14","9","SRM-20210814-SALE-15","11","3","0"
"16","1","25000.00","1000.00","2021-09-26","2021-09-11","9","SRM-20210814-SALE-16","1","0","0"
"18","1","230000.00","230000.00","2021-01-16","2021-01-01","4","SRM-20210823-SALE-18","13","5","0"
"19","1","130000.00","130000.00","2021-01-16","2021-01-01","4","SRM-20210823-SALE-19","13","5","0"
"20","1","260000.00","260000.00","2021-01-16","2021-01-01","4","SRM-20210823-SALE-20","13","5","0"
"21","1","180000.00","180000.00","2021-05-17","2021-05-02","4","SRM-20210823-SALE-21","13","5","0"
"22","1","492000.00","492000.00","2021-08-17","2021-08-02","4","SRM-20210823-SALE-22","13","5","0"
"23","1","404000.00","404000.00","2021-08-18","2021-08-03","4","SRM-20210823-SALE-23","13","5","0"
"24","1","937000.00","937000.00","2021-08-20","2021-08-05","4","SRM-20210823-SALE-24","13","5","0"
"25","1","1019000.00","1019000.00","2021-08-21","2021-08-06","4","SRM-20210823-SALE-25","13","5","0"
"26","1","115000.00","115000.00","2021-08-22","2021-08-07","4","SRM-20210823-SALE-26","13","5","0"
"27","1","110000.00","60000.00","2021-08-29","2021-08-14","4","SRM-20210823-SALE-27","13","5","0"
"28","1","625000.00","585000.00","2021-08-28","2021-08-13","4","SRM-20210824-SALE-28","14","5","0"
"29","1","25000.00","20000.00","2021-08-29","2021-08-14","4","SRM-20210824-SALE-29","13","5","0"
"30","1","240000.00","120000.00","2021-08-29","2021-08-14","4","SRM-20210824-SALE-30","13","5","0"
"31","1","100000.00","100000.00","2021-08-29","2021-08-14","4","SRM-20210824-SALE-31","13","5","0"
"32","1","20000.00","20000.00","2021-08-29","2021-08-14","4","SRM-20210824-SALE-32","13","5","0"
"33","1","15000.00","15000.00","2021-08-29","2021-08-14","4","SRM-20210824-SALE-33","13","5","0"
"34","1","130000.00","195000.00","2021-08-29","2021-08-14","4","SRM-20210824-SALE-34","13","5","0"
"35","1","20000.00","20000.00","2021-08-29","2021-08-14","4","SRM-20210824-SALE-35","13","5","0"
"36","1","20000.00","20000.00","2021-08-29","2021-08-14","4","SRM-20210824-SALE-36","13","5","0"
"37","1","8000.00","8000.00","2021-08-29","2021-08-14","4","SRM-20210824-SALE-37","13","5","0"
"38","1","230000.00","230000.00","2021-08-29","2021-08-14","4","SRM-20210824-SALE-38","13","5","0"
"39","1","25000.00","25000.00","2021-08-29","2021-08-14","4","SRM-20210824-SALE-39","13","5","0"
"40","1","60000.00","60000.00","2021-08-29","2021-08-14","4","SRM-20210824-SALE-40","13","5","0"
"41","1","60000.00","60000.00","2021-08-29","2021-08-14","4","SRM-20210824-SALE-41","13","5","0"
"42","1","20000.00","20000.00","2021-08-29","2021-08-14","4","SRM-20210824-SALE-42","13","5","0"
"43","1","96000.00","8000.00","2021-08-29","2021-08-14","4","SRM-20210824-SALE-43","13","5","0"
"44","1","230000.00","230000.00","2021-08-31","2021-08-16","4","SRM-20210824-SALE-44","13","5","0"
"45","1","50000.00","50000.00","2021-08-31","2021-08-16","4","SRM-20210824-SALE-45","13","5","0"
"46","1","12000.00","12000.00","2021-08-31","2021-08-16","4","SRM-20210824-SALE-46","13","5","0"
"47","1","15000.00","15000.00","2021-08-31","2021-08-16","4","SRM-20210824-SALE-47","13","5","0"
"48","1","20000.00","20000.00","2021-08-31","2021-08-16","4","SRM-20210824-SALE-48","13","5","0"
"49","1","30000.00","30000.00","2021-08-31","2021-08-16","4","SRM-20210824-SALE-49","13","5","0"
"50","1","25000.00","25000.00","2021-08-31","2021-08-16","4","SRM-20210824-SALE-50","13","5","0"
"51","1","30000.00","30000.00","2021-08-31","2021-08-16","4","SRM-20210824-SALE-51","13","5","0"
"52","1","120000.00","120000.00","2021-08-31","2021-08-16","4","SRM-20210824-SALE-52","13","5","0"
"53","1","20000.00","20000.00","2021-08-31","2021-08-16","4","SRM-20210824-SALE-53","13","5","0"
"54","1","20000.00","20000.00","2021-08-31","2021-08-16","4","SRM-20210824-SALE-54","13","5","0"
"55","1","40000.00","40000.00","2021-08-31","2021-08-16","4","SRM-20210824-SALE-55","13","5","0"
"56","1","20000.00","20000.00","2021-09-01","2021-08-17","4","SRM-20210824-SALE-56","13","5","0"
"57","1","30000.00","30000.00","2021-09-01","2021-08-17","4","SRM-20210825-SALE-57","13","5","0"
"58","1","15000.00","15000.00","2021-09-01","2021-08-17","4","SRM-20210825-SALE-58","13","5","0"
