"item_id","item_sale_number","sale_product","price","qty","total","item_status","item_company","item_shop","item_store"
"1","MACHEETAH-20210102-SALE-1","1","18750.00","2","37500.00","1","0","0","0"
"2","MACHEETAH-20210102-SALE-1","3","25000.00","4","100000.00","1","0","0","0"
"3","MACHEETAH-20210102-SALE-1","2","25000.00","1","25000.00","1","0","0","0"
"4","MACHEETAH-20210124-SALE-2","1","18750.00","30","562500.00","1","0","0","0"
"5","MACHEETAH-20210124-SALE-3","3","25000.00","6","150000.00","4","0","0","0"
"6","MACHEETAH-20210124-SALE-3","2","25000.00","3","75000.00","4","0","0","0"
"7","MACHEETAH-20210213-SALE-4","1","18750.00","1","18750.00","4","0","0","0"
"8","MACHEETAH-20210214-SALE-5","3","25000.00","1","25000.00","4","0","0","0"
"9","MACHEETAH-20210216-SALE-6","2","25000.00","1","25000.00","4","0","0","0"
"10","MACHEETAH-20210217-SALE-7","1","18750.00","3","56250.00","4","0","0","0"
"11","MACHEETAH-20210217-SALE-7","2","25000.00","3","75000.00","4","0","0","0"
"12","MACHEETAH-20210222-SALE-8","1","18750.00","3","56250.00","4","0","0","0"
"13","MACHEETAH-20210222-SALE-9","2","25000.00","3","75000.00","4","0","0","0"
"14","SRM-20210301-SALE-10","5","25000.00","1","25000.00","4","0","0","0"
"15","SRM-20210301-SALE-10","5","200000.00","1","200000.00","4","0","0","0"
"16","SRM-20210301-SALE-10","6","370000.00","1","370000.00","4","0","0","0"
"17","SRM-20210301-SALE-12","7","50000.00","1","50000.00","1","0","0","0"
"18","SRM-20210312-SALE-13","7","25000.00","1","25000.00","1","1","0","0"
"19","SRM-20210812-SALE-14","8","12500.00","5","62500.00","1","3","0","0"
"20","SRM-20210814-SALE-15","8","13000.00","3","39000.00","1","3","0","0"
"21","SRM-20210814-SALE-17","41","230000.00","4","920000.00","1","5","0","0"
"22","SRM-20210823-SALE-18","55","230000.00","1","230000.00","4","5","0","0"
"23","SRM-20210823-SALE-19","52","50000.00","2","110000.00","4","5","0","0"
"24","SRM-20210823-SALE-19","28","25000.00","4","100000.00","4","5","0","0"
"25","SRM-20210823-SALE-19","9","55000.00","2","110000.00","4","5","0","0"
"26","SRM-20210823-SALE-19","54","80000.00","1","80000.00","4","5","0","0"
"27","SRM-20210823-SALE-19","83","45000.00","1","45000.00","4","5","0","0"
"28","SRM-20210823-SALE-20","100","20000.00","8","126400.00","4","5","0","0"
"29","SRM-20210823-SALE-20","101","25000.00","5","125000.00","4","5","0","0"
"30","SRM-20210823-SALE-20","100","20000.00","8","126400.00","4","5","0","0"
"31","SRM-20210823-SALE-20","100","25000.00","8","126400.00","4","5","0","0"
"32","SRM-20210823-SALE-20","24","10000.00","5","25000.00","4","5","0","0"
"33","SRM-20210823-SALE-20","52","50000.00","2","110000.00","4","5","0","0"
"34","SRM-20210823-SALE-20","13","55000.00","1","55000.00","4","5","0","0"
"35","SRM-20210823-SALE-21","100","30000.00","8","126400.00","4","5","0","0"
"36","SRM-20210823-SALE-22","102","250000.00","2","480000.00","4","5","0","0"
"37","SRM-20210823-SALE-22","94","12000.00","1","12000.00","4","5","0","0"
"38","SRM-20210823-SALE-22","44","180000.00","2","400000.00","4","5","0","0"
"39","SRM-20210823-SALE-22","49","13000.00","4","60000.00","4","5","0","0"
"40","SRM-20210823-SALE-22","50","50000.00","5","250000.00","4","5","0","0"
"41","SRM-20210823-SALE-22","51","25000.00","2","60000.00","4","5","0","0"
"42","SRM-20210823-SALE-22","90","10000.00","3","36000.00","4","5","0","0"
"43","SRM-20210823-SALE-22","31","10000.00","2","20000.00","4","5","0","0"
"44","SRM-20210823-SALE-23","90","12000.00","3","36000.00","4","5","0","0"
"45","SRM-20210823-SALE-23","81","65000.00","2","130000.00","4","5","0","0"
"46","SRM-20210823-SALE-23","102","250000.00","2","480000.00","4","5","0","0"
"47","SRM-20210823-SALE-23","28","25000.00","4","100000.00","4","5","0","0"
"48","SRM-20210823-SALE-23","27","15000.00","3","45000.00","4","5","0","0"
"49","SRM-20210823-SALE-23","19","20000.00","3","60000.00","4","5","0","0"
"50","SRM-20210823-SALE-23","65","20000.00","3","75000.00","4","5","0","0"
"51","SRM-20210823-SALE-23","66","15000.00","3","30000.00","4","5","0","0"
"52","SRM-20210823-SALE-23","60","75000.00","1","75000.00","4","5","0","0"
"53","SRM-20210823-SALE-23","64","80000.00","1","80000.00","4","5","0","0"
"54","SRM-20210823-SALE-23","51","30000.00","2","60000.00","4","5","0","0"
"55","SRM-20210823-SALE-23","38","60000.00","3","225000.00","4","5","0","0"
"56","SRM-20210823-SALE-23","26","6000.00","3","18000.00","4","5","0","0"
"57","SRM-20210823-SALE-23","51","30000.00","2","60000.00","4","5","0","0"
"58","SRM-20210823-SALE-23","90","12000.00","3","36000.00","4","5","0","0"
"59","SRM-20210823-SALE-23","81","65000.00","1","65000.00","4","5","0","0"
"60","SRM-20210823-SALE-23","102","250000.00","2","480000.00","4","5","0","0"
"61","SRM-20210823-SALE-23","27","15000.00","3","45000.00","4","5","0","0"
"62","SRM-20210823-SALE-23","19","20000.00","3","60000.00","4","5","0","0"
"63","SRM-20210823-SALE-24","38","60000.00","3","225000.00","4","5","0","0"
"64","SRM-20210823-SALE-24","81","65000.00","1","65000.00","4","5","0","0"
"65","SRM-20210823-SALE-24","26","6000.00","3","18000.00","4","5","0","0"
"66","SRM-20210823-SALE-24","28","30000.00","4","100000.00","4","5","0","0"
"67","SRM-20210823-SALE-24","75","65000.00","2","100000.00","4","5","0","0"
"68","SRM-20210823-SALE-24","72","55000.00","1","55000.00","4","5","0","0"
"69","SRM-20210823-SALE-24","90","12000.00","3","36000.00","4","5","0","0"
"70","SRM-20210823-SALE-24","45","230000.00","1","230000.00","4","5","0","0"
"71","SRM-20210823-SALE-24","94","12000.00","1","12000.00","4","5","0","0"
"72","SRM-20210823-SALE-24","47","230000.00","1","230000.00","4","5","0","0"
"73","SRM-20210823-SALE-24","102","250000.00","2","480000.00","4","5","0","0"
"74","SRM-20210823-SALE-24","27","15000.00","3","45000.00","4","5","0","0"
"75","SRM-20210823-SALE-25","23","20000.00","5","100000.00","4","5","0","0"
"76","SRM-20210823-SALE-25","24","10000.00","5","25000.00","4","5","0","0"
"77","SRM-20210823-SALE-25","44","180000.00","2","400000.00","4","5","0","0"
"78","SRM-20210823-SALE-25","51","35000.00","2","60000.00","4","5","0","0"
"79","SRM-20210823-SALE-25","41","230000.00","2","460000.00","4","5","0","0"
"80","SRM-20210823-SALE-25","28","30000.00","4","100000.00","4","5","0","0"
"81","SRM-20210823-SALE-25","19","20000.00","3","60000.00","4","5","0","0"
"82","SRM-20210823-SALE-25","29","55000.00","1","55000.00","4","5","0","0"
"83","SRM-20210823-SALE-25","90","12000.00","3","36000.00","4","5","0","0"
"84","SRM-20210823-SALE-25","26","5000.00","1","5000.00","4","5","0","0"
"85","SRM-20210823-SALE-25","48","25000.00","2","30000.00","4","5","0","0"
"86","SRM-20210823-SALE-26","82","75000.00","1","75000.00","4","5","0","0"
"87","SRM-20210823-SALE-26","38","60000.00","3","225000.00","4","5","0","0"
"88","SRM-20210823-SALE-26","19","20000.00","3","60000.00","4","5","0","0"
"89","SRM-20210823-SALE-26","96","15000.00","1","15000.00","4","5","0","0"
"90","SRM-20210823-SALE-26","95","12000.00","6","600000.00","4","5","0","0"
"91","SRM-20210823-SALE-26","94","12000.00","1","12000.00","4","5","0","0"
"92","SRM-20210823-SALE-26","11","15000.00","2","30000.00","4","5","0","0"
"93","SRM-20210823-SALE-27","85","50000.00","1","50000.00","4","5","0","0"
"94","SRM-20210823-SALE-27","103","60000.00","2","90000.00","4","5","0","0"
"95","SRM-20210824-SALE-29","76","25000.00","2","30000.00","4","5","0","0"
"96","SRM-20210824-SALE-30","48","120000.00","2","30000.00","4","5","0","0"
"97","SRM-20210824-SALE-31","65","100000.00","3","75000.00","4","5","0","0"
"98","SRM-20210824-SALE-32","22","20000.00","1","20000.00","4","5","0","0"
"99","SRM-20210824-SALE-33","27","15000.00","3","45000.00","4","5","0","0"
"100","SRM-20210824-SALE-34","25","65000.00","2","130000.00","4","5","0","0"
"101","SRM-20210824-SALE-35","100","20000.00","8","126400.00","4","5","0","0"
"102","SRM-20210824-SALE-36","100","20000.00","8","126400.00","4","5","0","0"
"103","SRM-20210824-SALE-37","106","8000.00","7","70000.00","4","5","0","0"
"104","SRM-20210824-SALE-38","45","230000.00","1","230000.00","4","5","0","0"
"105","SRM-20210824-SALE-38","45","230000.00","1","230000.00","4","5","0","0"
"106","SRM-20210824-SALE-39","108","5000.00","3","15000.00","4","5","0","0"
"107","SRM-20210824-SALE-40","48","15000.00","4","60000.00","4","5","0","0"
"108","SRM-20210824-SALE-41","109","60000.00","2","140000.00","4","5","0","0"
