id,success_loan,failed_loans,income
10.0,12.0,0.0,500000.00
142.0,3.0,0.0,180000.00
143.0,3.0,1.0,300000.00
144.0,5.0,1.0,250000.00
145.0,1.0,0.0,150000.00
146.0,1.0,0.0,300000.00
147.0,1.0,0.0,1800000.00
149.0,9.0,1.0,750000.00
150.0,1.0,0.0,430000.00
151.0,2.0,0.0,290000.00
152.0,9.0,2.0,280000.00
154.0,2.0,0.0,200000.00
157.0,6.0,0.0,600000.00
158.0,3.0,1.0,450000.00
161.0,2.0,0.0,400000.00
162.0,4.0,1.0,260000.00
163.0,18.0,1.0,3000000.00
164.0,3.0,0.0,300000.00
166.0,6.0,2.0,500000.00
174.0,1.0,0.0,500000.00
175.0,0.0,1.0,350000.00
178.0,3.0,0.0,2000000.00
181.0,5.0,0.0,300000.00
185.0,0.0,0.0,300000.00
186.0,0.0,0.0,300000.00
192.0,3.0,1.0,150000.00
198.0,0.0,0.0,300000.00
199.0,1.0,0.0,250000.00
200.0,5.0,1.0,200000.00
201.0,5.0,1.0,700012.00
204.0,2.0,0.0,350000.00
206.0,0.0,1.0,250000.00
208.0,0.0,0.0,200000.00
209.0,7.0,1.0,200000.00
211.0,20.0,1.0,1300000.00
212.0,1.0,0.0,200000.00
213.0,19.0,1.0,1000000.00
214.0,2.0,0.0,300000.00
215.0,7.0,1.0,3500000.00
216.0,2.0,0.0,150000.00
217.0,1.0,0.0,400000.00
219.0,0.0,1.0,460000.00
220.0,2.0,1.0,250000.00
221.0,1.0,0.0,300000.00
222.0,1.0,1.0,300000.00
224.0,3.0,0.0,350000.00
225.0,1.0,0.0,400000.00
226.0,4.0,0.0,350000.00
227.0,11.0,2.0,200000.00
229.0,2.0,0.0,250000.00
230.0,3.0,0.0,300000.00
231.0,3.0,0.0,250000.00
232.0,0.0,0.0,300000.00
234.0,10.0,2.0,600000.00
235.0,0.0,0.0,200000.00
237.0,0.0,1.0,100000.00
238.0,1.0,1.0,600000.00
239.0,3.0,0.0,300000.00
240.0,4.0,1.0,400000.00
241.0,5.0,1.0,600000.00
243.0,1.0,1.0,300000.00
244.0,16.0,1.0,400000.00
246.0,3.0,0.0,350000.00
247.0,10.0,1.0,390000.00
248.0,9.0,2.0,980000.00
249.0,5.0,1.0,470000.00
250.0,0.0,0.0,500000.00
251.0,0.0,1.0,500000.00
252.0,1.0,1.0,600000.00
253.0,2.0,0.0,200000.00
254.0,2.0,0.0,450000.00
256.0,2.0,0.0,470000.00
257.0,4.0,0.0,400000.00
258.0,7.0,0.0,250000.00
259.0,2.0,0.0,299999.00
260.0,3.0,1.0,650000.00
262.0,0.0,0.0,350000.00
264.0,0.0,1.0,300000.00
267.0,4.0,1.0,249998.00
268.0,4.0,0.0,500000.00
269.0,2.0,0.0,400000.00
272.0,1.0,0.0,1800000.00
273.0,2.0,0.0,380000.00
275.0,4.0,0.0,300000.00
276.0,3.0,0.0,450000.00
277.0,3.0,2.0,300000.00
279.0,1.0,0.0,200000.00
280.0,5.0,1.0,200000.00
281.0,2.0,0.0,200000.00
283.0,11.0,1.0,900000.00
285.0,6.0,8.0,700000.00
288.0,0.0,1.0,300000.00
289.0,10.0,0.0,400000.00
290.0,0.0,0.0,300000.00
291.0,5.0,0.0,300000.00
292.0,0.0,0.0,400000.00
293.0,7.0,0.0,250000.00
294.0,5.0,1.0,450000.00
295.0,6.0,1.0,400000.00
296.0,9.0,6.0,350000.00
297.0,0.0,1.0,300000.00
304.0,1.0,0.0,600000.00
307.0,1.0,0.0,350000.00
309.0,8.0,2.0,500000.00
311.0,8.0,0.0,300000.00
312.0,3.0,1.0,400000.00
313.0,17.0,1.0,1850000.00
315.0,9.0,2.0,370000.00
316.0,4.0,0.0,410000.00
317.0,11.0,0.0,600000.00
318.0,1.0,0.0,230000.00
319.0,4.0,2.0,490000.00
320.0,1.0,1.0,400000.00
321.0,2.0,0.0,620000.00
322.0,4.0,1.0,150000.00
323.0,1.0,0.0,270000.00
324.0,6.0,1.0,6000000.00
325.0,2.0,0.0,300000.00
328.0,12.0,1.0,320000.00
329.0,3.0,0.0,300000.00
330.0,2.0,0.0,450000.00
332.0,3.0,0.0,600000.00
333.0,2.0,1.0,450000.00
335.0,1.0,1.0,450000.00
336.0,16.0,1.0,790000.00
337.0,11.0,0.0,270000.00
338.0,2.0,0.0,400000.00
339.0,1.0,1.0,300000.00
